ratio,baseline_acc,baseline_prompt_tokens,baseline_latency_s,compressed_acc,compressed_prompt_tokens,compressed_latency_s,compressed_savings_pct,bear_acc,bear_prompt_tokens,bear_latency_s,bear_savings_pct
0.3,0.3667,1360753,3.0725,0.3,501621,0.7184,59.95,0.3333,1055800,2.1436,21.03
0.4,0.3667,1360753,3.0725,0.3667,568905,1.176,54.53,0.2667,990689,2.104,25.69
0.5,0.3667,1360753,3.0725,0.3667,651190,1.0554,48.04,0.3,918538,1.7881,30.96
0.6,0.3667,1360753,3.0725,0.3333,753511,1.8843,39.87,0.3333,837241,2.0967,37.02
0.7,0.3667,1360753,3.0725,0.3333,879709,1.766,30.28,0.4,738533,1.7417,44.37
